﻿﻿﻿﻿일시,시간대구분,자치구,총생활인구수,남자미성년자,남자청년,남자중년,남자노년,여자미성년자,여자청년,여자중년,여자노년
20200101,0,관악구,514356.2715,29787.008199999997,108002.26259999999,85259.28080000001,32544.2126,28634.8163,98977.6287,84814.99410000001,46336.0709
20200101,0,서초구,496592.2553,41862.577300000004,72379.3415,92862.888,30875.2333,43923.041000000005,77282.0703,94062.63489999999,43344.4699
20200101,0,강남구,682556.8033,58110.2487,106839.46399999999,125981.0532,39278.8081,56740.6799,116208.4565,124582.15149999999,54815.9433
20200101,0,송파구,762405.9599,64771.467399999994,112048.0091,136676.095,45998.590500000006,65592.7273,124728.5967,148316.8266,64273.6516
20200101,0,강동구,521393.8681,46095.2304,69274.0659,98545.44810000001,36311.205,40563.991700000006,72256.1616,107098.78159999999,51248.981199999995
20200101,12,종로구,255715.5438,15373.7901,40695.3326,49245.3399,20862.6113,14786.939999999999,41326.9541,48349.3565,25075.2196
20200101,12,중구,222517.5911,11521.0553,37183.6474,43501.210699999996,15441.8146,11741.8308,41195.2837,41248.619099999996,20684.1283
20200101,12,용산구,286734.519,19103.4525,49645.5732,51961.8716,17499.623,19069.0634,51707.139800000004,51575.091100000005,26172.6988
20200101,12,성동구,327517.9522,24967.9934,53070.927200000006,59586.4135,19747.997900000002,24294.034499999998,55280.3283,60341.9648,30228.283600000002
20200101,12,광진구,372838.9647,28287.5046,63094.5754,65488.4952,22004.11,27027.8146,66994.4657,69198.7808,30743.2219
20200101,12,동대문구,349531.7151,23883.4333,55516.413700000005,63589.7892,27224.5529,23387.2639,55494.2523,61812.4651,38623.5469
20200101,12,중랑구,372248.3876,27848.877800000002,52932.1621,71066.953,26671.187700000002,27089.119499999997,53572.475999999995,73544.9911,39522.618
20200101,12,성북구,430052.3518,37761.082800000004,60926.5763,75272.217,28677.6348,35647.707500000004,65256.276699999995,80364.08120000002,46146.7726
20200101,12,강북구,316984.8094,23202.2268,41304.4231,58176.119000000006,25861.2595,21760.4048,43129.664300000004,62620.25,40930.4633
20200101,12,도봉구,296973.6474,23714.9628,38184.4503,55298.132600000004,24196.322500000002,20660.205700000002,38573.724500000004,60627.17670000001,35718.6704
20200101,12,노원구,538263.927,51131.749899999995,68679.58750000001,96808.045,34966.2567,48156.0199,71695.7574,109861.60540000001,56964.9034
20200101,12,은평구,461492.738,39451.0934,61577.8439,82316.33439999999,31927.7244,35850.1742,66691.0203,91987.8346,51690.7197
20200101,12,서대문구,348977.6991,24977.444799999997,54045.1622,61181.1192,21891.944799999997,25425.456700000002,62663.6661,63972.40900000001,34820.4943
20200101,12,마포구,430528.338,31462.592000000004,73167.0116,71985.21919999999,22922.9429,33834.0394,86036.4213,76095.51449999999,35024.5991
20200101,12,양천구,403953.336,42141.6228,50568.5732,75290.71119999999,25001.8636,39229.153999999995,53762.8079,81254.86189999999,36703.7463
20200101,12,강서구,545138.697,42396.3847,85519.2581,95878.2208,34709.4733,43028.5022,90566.2745,102473.87229999999,50566.7141
20200101,12,구로구,396511.6676,30633.822699999997,59456.5015,77172.0054,26807.4281,29905.8293,59595.5288,75640.12479999999,37300.4239
20200101,12,금천구,209661.7054,14069.0917,35933.371100000004,42174.7158,13849.9955,13069.0784,31724.8591,40666.11959999999,18174.4705
20200101,12,영등포구,428360.2168,28172.311200000004,71720.246,81320.4225,27929.111800000002,28161.364799999996,74010.96599999999,78503.4073,38542.3854
20200101,12,동작구,396261.7574,27390.9116,70588.2764,65506.631,26594.786,27877.527000000002,67746.2242,70765.7921,39791.6085
